Clabels,ID,Shelves
3,1289,4483
0,2706,581514
4,1897,4483
4,2230,4537
0,3069,1229817
0,3069,1229821
2,563,4537
3,1256,4483
0,2640,4483
0,3036,3304195
0,3069,1180168
0,2528,1229821
0,2528,447913
4,2120,522484
1,1207,1070524
4,2074,1229817
4,1952,1229821
4,1972,95987
4,2115,4483
0,2703,1229821
0,2703,1229817
0,2703,447913
3,1341,127175
1,1165,4483
3,1732,529295
1,992,127175
2,68,95987
4,2256,127175
3,1233,529295
0,3064,4537
2,216,95987
0,2893,4483
0,2622,529295
0,2662,581514
4,2045,4537
0,2842,581514
1,808,522484
2,187,529295
1,634,4483
0,2755,106546
0,2755,127175
0,2537,4537
1,714,4537
0,2756,529295
3,1428,4483
3,1576,4537
3,1428,581514
3,1439,1229817
3,1428,4537
3,1635,4483
0,2622,529295
0,2510,3304195
0,2510,1229821
0,2510,1229825
1,992,529295
4,2305,529295
4,2407,522484
2,228,522484
2,228,106546
2,228,4483
0,2779,447913
1,1058,522484
4,1875,4537
1,969,522484
1,969,106546
2,525,95987
2,525,4537
4,2357,447913
0,3069,1229821
0,3069,1229820
0,3069,1180168
3,1428,4483
2,277,447913
2,277,1229821
1,1209,4483
1,1184,4483
1,783,4537
0,2942,106546
1,593,95987
2,274,4483
4,2026,4537
2,16,4537
4,2438,4537
0,2843,1070524
1,980,127175
0,2789,4483
3,1475,522484
4,2195,4537
1,1167,4537
4,2078,447913
4,2428,4483
3,1439,1229821
3,1439,447913
4,1863,4537
0,2763,4537
2,68,1229817
3,1737,4537
2,152,4537
1,1000,4537
3,1729,5065
3,1268,4537
2,275,1070524
1,1184,4537
4,2256,529295
0,2706,581514
0,2706,4537
4,2007,4483
1,929,581514
1,633,4538
1,856,4537
3,1723,581514
2,279,127175
1,933,581514
3,1737,106546
1,1101,106546
0,2512,4537
1,1089,447913
2,345,529295
0,3069,1229821
0,3069,1180168
3,1806,4537
3,1379,581514
1,933,4483
2,80,581514
0,2479,95987
2,287,4537
2,193,4483
2,80,581514
0,2510,3304195
2,68,1229817
1,1030,4537
2,314,4537
0,2736,4537
0,2875,4537
0,2557,650659
3,1380,106546
2,267,4537
2,78,4537
2,208,4537
3,1463,4536
1,712,4483
0,2622,529295
4,2089,106546
3,1789,95987
3,1789,522484
3,1789,106546
2,3,95987
2,3,1225174
1,1101,95987
4,2156,3304195
4,2156,1229821
4,2156,1229820
0,2609,4536
0,2510,95987
0,2920,4483
4,2023,4483
3,1282,127175
2,173,4483
1,664,4537
0,2706,581514
1,996,650659
2,17,4483
2,86,4538
4,2424,4483
3,1712,4483
4,2156,650659
4,1982,4537
2,60,127175
0,2789,4537
2,249,1070524
1,1008,581514
1,1212,106546
4,2256,529295
4,2103,4537
0,2871,447913
1,1063,4537
0,2879,127175
1,1079,1070524
3,1340,4537
4,2367,529295
2,68,95987
1,837,95987
4,2242,529295
4,2116,4483
0,2671,4483
3,1375,529295
4,2097,581514
1,664,1070524
2,36,4483
0,3069,1180168
3,1527,447913
3,1527,1229817
3,1527,1229820
3,1527,1229821
1,1008,581514
2,202,4537
1,751,106546
1,751,522484
1,767,4483
1,767,106546
3,1428,4537
2,482,529295
0,3129,447913
4,1897,4483
3,1817,5065
1,1071,4483
1,750,581514
1,1047,4537
1,1071,4483
3,1769,447913
4,1990,522484
4,1990,106546
4,2078,1229821
4,1897,4483
3,1322,4483
3,1811,4537
4,2026,4537
2,78,4537
3,1439,1229821
3,1317,650659
1,722,4537
3,1723,581514
2,68,650659
4,2073,4538
0,2703,1229817
0,2703,3304195
0,2703,1229821
3,1635,4536
3,1289,4483
1,1047,4537
2,93,4537
2,237,4537
1,908,95987
2,292,4536
4,2258,522484
4,2258,106546
4,2258,95987
4,1984,447913
0,2761,1070524
2,442,650659
0,2511,581514
3,1428,4537
0,2784,4537
3,1737,4537
1,1118,4537
3,1712,4483
3,1685,1071165
2,400,650659
4,2026,4537
3,1439,447913
3,1439,1229821
3,1712,4483
2,68,1180168
0,2510,1229817
0,2510,3304195
0,2510,1229821
3,1658,650659
0,2849,95987
3,1529,4537
3,1340,4537
3,1712,4483
3,1769,447913
1,633,4538
4,2361,4537
3,1759,4537
1,634,4483
0,3136,4483
0,2627,4538
1,1046,4483
1,1046,4537
2,68,1229821
0,2861,4538
0,3069,1229817
4,1990,4483
1,1098,4537
0,2761,1070524
2,419,4537
3,1737,4537
3,1671,106546
0,2510,3304195
0,2510,1229821
4,2223,581514
3,1519,581514
0,3069,1180168
2,323,95987
1,1186,4483
2,346,127175
3,1732,106546
2,175,4483
2,84,4537
2,244,4483
4,2286,4483
3,1697,3304195
3,1697,447913
3,1697,1229821
1,1000,4537
4,2078,1180168
4,2078,1229821
4,2078,1229820
4,2078,1229819
0,2736,4537
4,2134,581514
3,1737,4483
4,1990,4483
2,279,127175
0,2734,4483
3,1583,522484
3,1583,106546
3,1583,127175
4,2346,447913
3,1375,529295
4,2445,4537
2,101,4483
0,2510,1229817
4,2111,95987
0,2706,581514
2,68,1229817
0,2789,4483
0,2875,1070524
0,2812,62056
2,68,1229819
0,2574,1229821
4,2448,581514
4,2069,4537
1,908,650659
0,2965,4483
0,3095,4537
2,159,4537
4,2383,4537
1,1184,4537
2,20,4537
1,896,4537
0,2970,522484
0,2683,522484
0,2683,106546
3,1428,4483
2,366,4537
0,2570,95987
4,2278,581514
0,2930,4537
4,1984,581514
4,2023,4483
1,992,127175
3,1414,4537
2,390,581514
4,1897,4483
0,2599,522484
0,2510,1229817
0,2510,3304195
0,2510,1229821
0,2510,106546
0,2510,522484
0,2510,127175
4,2055,95987
0,2816,4538
1,992,529295
4,2026,529295
3,1757,522484
1,1000,4537
4,2137,529295
4,2321,106546
0,2575,522484
0,3069,1229821
0,3069,1229820
3,1237,95987
3,1237,522484
0,2779,447913
4,2371,106546
4,2371,522484
1,1205,4537
2,483,522484
0,2484,4538
0,2706,581514
2,50,4483
2,152,4538
0,2875,4483
3,1446,522484
0,2510,3304195
0,2510,1229821
1,647,4537
1,1153,4483
3,1817,4537
4,2256,127175
2,142,1229820
2,244,4483
1,976,581514
