Clabels,ID
0,1723
3,84
0,1533
2,2633
1,743
2,2777
0,1390
1,589
1,1106
2,2818
0,1426
1,1167
4,2065
2,3174
2,3208
0,1546
3,298
3,171
0,1518
4,2363
2,2510
0,1423
3,82
2,2956
0,1715
2,2818
0,1449
3,190
2,2971
4,2357
1,1158
0,1729
4,2065
2,2912
3,69
2,3175
2,2703
3,94
4,2244
0,1439
2,2753
0,1438
2,2474
4,1885
4,2000
2,3201
1,693
0,1346
2,2780
2,2510
0,1581
0,1597
1,949
3,69
2,3188
1,876
2,2482
3,69
0,1604
2,2525
0,1530
3,476
3,172
2,2665
1,950
0,1423
3,144
2,2755
3,364
4,2130
4,1966
3,476
1,871
3,298
2,2783
4,2004
2,2510
0,1426
4,2244
2,3089
4,2289
3,189
3,103
3,257
0,1426
1,1108
1,700
2,2756
3,84
2,2631
4,1966
2,2510
1,846
0,1490
4,2135
2,2896
2,2510
4,2283
3,504
1,1140
2,2510
2,3202
2,3207
0,1439
4,1854
1,805
0,1732
2,2918
2,2658
3,223
2,2703
0,1798
0,1801
0,1243
4,1970
0,1426
1,1112
4,2065
2,2525
0,1294
2,3155
1,646
4,2004
0,1735
0,1775
2,2510
4,1981
4,2073
0,1546
2,3133
2,2450
2,3123
1,672
0,1497
0,1391
2,2584
3,171
2,2494
3,305
4,2363
4,2321
2,2944
2,2465
2,3199
2,2915
0,1745
4,1970
3,69
2,2779
0,1426
0,1261
0,1345
4,1877
0,1640
1,875
1,849
3,442
3,69
4,2063
1,763
4,2256
3,431
1,1084
3,198
2,2977
0,1438
4,2329
1,700
0,1438
0,1641
2,3041
4,2004
0,1730
2,2858
4,2038
4,2155
1,1025
2,2461
0,1715
3,69
1,829
1,808
3,171
2,2510
0,1341
0,1772
3,96
0,1333
1,1175
3,349
4,1970
0,1439
3,364
1,985
3,69
4,1854
2,2703
1,936
3,203
1,620
4,2255
4,2255
4,2020
1,814
0,1748
1,1075
3,476
2,2573
4,2283
4,2064
2,2988
1,1189
2,3106
2,2709
2,2809
3,69
2,3201
0,1582
0,1748
4,1905
0,1754
2,2963
3,406
1,733
2,2643
2,2525
1,1106
3,4
2,2510
2,3092
1,745
4,2398
3,6
2,3089
3,33
0,1426
0,1578
1,709
4,2135
1,1023
1,1106
2,2569
3,69
2,2904
0,1426
1,589
1,777
3,201
2,2822
2,2510
0,1339
2,2755
2,2692
2,2847
2,3200
2,3089
1,738
0,1382
2,2888
4,2108
0,1462
0,1492
2,2622
2,2510
0,1705
0,1587
2,3201
0,1304
0,1462
1,670
4,1966
4,2255
4,2300
0,1238
0,1801
4,2155
2,2832
1,1021
2,3041
0,1633
2,2510
2,2561
4,2130
4,2138
3,370
1,733
3,18
3,501
0,1715
4,1946
2,3178
3,400
0,1304
3,150
2,2708
3,350
3,221
3,496
4,2004
0,1678
0,1426
1,942
1,1068
3,522
2,3066
2,2605
2,2512
2,2967
3,274
4,1873
4,1815
0,1735
4,2130
3,224
1,962
0,1735
3,198
2,2510
2,2914
0,1749
2,2756
0,1701
1,935
3,406
2,2724
2,3133
4,1885
3,215
4,2004
0,1387
1,1041
2,3058
2,2488
3,302
1,1035
3,450
0,1798
1,1095
4,2255
0,1358
3,18
1,654
4,1944
4,2009
1,1055
1,589
4,2155
0,1328
1,1153
2,2510
1,755
4,1859
2,2979
1,1036
2,2509
4,1828
0,1281
2,2510
4,2155
2,2552
3,171
1,996
3,350
3,150
2,2510
3,1
4,1941
3,298
0,1546
1,1151
4,2210
0,1623
4,2190
2,2527
2,2522
2,2510
3,6
2,2936
3,267
2,2510
1,1037
4,1929
4,2051
1,1170
4,1876
4,2410
2,2510
3,88
1,850
2,2510
0,1345
1,632
1,904
2,2803
4,2065
3,171
2,2721
4,1955
4,2155
0,1735
3,302
0,1702
3,224
3,210
1,656
3,188
1,591
3,318
4,2180
4,2252
4,2190
3,529
2,2675
0,1423
2,2638
1,751
3,55
2,2486
1,885
0,1462
3,171
1,1106
1,686
0,1806
4,2072
4,1970
2,3155
4,2217
2,2961
4,1970
3,416
0,1474
1,773
1,1123
1,1095
4,2410
1,1021
1,839
2,2720
2,2510
2,2721
2,2458
3,298
0,1735
0,1756
4,1969
3,69
1,1055
1,927
1,833
4,1970
2,2603
3,69
3,69
4,1944
1,600
4,2363
4,2020
2,2481
4,2225
0,1751
2,2918
3,420
2,3043
2,3100
3,69
0,1222
3,69
4,2190
4,1912
0,1426
2,3090
0,1294
2,2526
0,1723
3,162
1,693
0,1613
4,2253
0,1546
0,1629
2,2510
0,1769
0,1426
1,964
2,2573
0,1304
3,154
2,2510
3,179
0,1430
1,840
2,2510
2,2721
3,186
4,1854
3,473
2,2458
0,1438
3,536
0,1546
2,2853
3,183
0,1578
0,1346
0,1346
0,1354
2,2510
1,1089
0,1483
2,2877
3,476
2,2513
1,592
3,69
1,1128
2,2918
1,1017
4,2006
1,589
2,3053
4,2257
0,1812
1,1021
3,171
0,1226
3,536
3,182
4,1816
4,2308
1,858
2,2510
1,1145
1,618
0,1628
0,1356
0,1735
3,442
3,502
0,1803
2,2581
2,2843
2,2895
2,2510
4,2034
2,2548
0,1806
3,69
4,2080
0,1605
0,1715
1,644
3,70
4,2381
2,2573
0,1280
0,1272
0,1404
2,3057
3,69
2,3175
1,970
1,845
1,948
2,2510
0,1426
1,1095
2,2965
2,3201
2,2696
2,3120
0,1633
0,1346
4,1889
1,1015
2,2770
1,871
0,1383
2,2923
3,257
4,2009
3,349
2,2724
1,600
4,2342
3,298
0,1346
1,1039
2,2676
3,186
3,480
3,470
1,1104
3,69
1,1187
0,1426
2,3053
3,103
3,479
1,871
2,3186
2,2724
3,485
2,3201
4,2155
3,545
0,1462
3,350
2,2510
3,186
3,171
2,2462
4,2195
4,2318
2,2703
2,2509
3,233
4,2429
4,2000
1,955
2,2852
4,2191
3,69
0,1515
2,3186
4,2136
2,3201
2,2721
3,106
3,69
0,1422
1,1067
2,2744
3,291
3,69
4,1847
4,2009
4,1918
3,69
3,364
3,171
3,443
0,1807
0,1426
2,2852
2,3070
4,1836
2,3155
1,763
2,3089
0,1578
1,734
1,990
3,398
1,1163
2,3141
4,1966
3,449
2,3201
4,2065
4,1976
1,1007
4,2083
0,1566
3,69
4,2212
2,2536
3,394
1,851
2,3189
4,1970
2,2736
0,1678
3,171
4,2244
3,67
4,2416
1,977
0,1376
3,186
4,2251
4,1895
3,171
3,556
4,2017
0,1638
0,1239
0,1426
0,1383
4,2120
0,1569
0,1658
0,1312
2,2563
0,1462
4,1865
4,2255
2,2453
1,1015
4,1970
2,2603
2,3208
0,1345
0,1321
0,1663
2,2510
3,186
3,26
1,1106
2,3089
2,3123
3,130
0,1748
3,69
0,1345
2,3018
0,1735
1,739
4,2155
0,1411
4,2004
0,1372
4,2062
2,2785
3,330
0,1572
2,2812
0,1678
0,1294
1,589
0,1365
2,2510
1,711
2,2439
4,2042
2,3201
2,3100
0,1633
4,2009
4,2310
1,834
2,2756
2,2453
0,1735
2,2751
2,2834
0,1354
4,2411
2,2510
2,3091
1,1162
4,2224
0,1354
2,2724
3,186
4,2103
1,1116
2,3123
0,1397
0,1280
1,958
3,69
3,298
4,2357
1,1040
3,103
2,3100
4,2237
2,2510
2,2842
4,2156
3,308
1,1183
1,615
3,171
2,2990
3,406
0,1345
1,694
0,1506
2,3071
4,2065
2,3089
1,923
1,729
3,102
4,1828
4,2095
0,1426
2,3040
2,2778
3,367
2,2822
2,3172
1,1021
1,989
4,2130
2,2685
4,2065
1,840
4,1970
0,1309
4,1970
3,476
4,1836
3,426
3,88
3,171
1,644
3,277
3,170
0,1426
1,873
2,3063
2,2510
2,2510
4,2199
2,2724
0,1514
2,2775
1,619
0,1757
0,1484
2,2847
2,2780
4,2130
4,2411
2,3014
3,342
2,3208
1,1120
4,2085
4,2373
3,190
3,448
4,2235
0,1789
0,1524
2,2510
0,1703
3,544
2,2453
2,2721
4,2065
3,79
3,171
3,422
2,2715
2,3040
0,1423
2,2573
1,672
4,2229
1,935
0,1538
2,2755
3,331
2,2767
0,1273
2,2458
4,1988
3,441
4,1970
2,2653
0,1426
3,476
0,1354
4,2255
2,2724
3,364
4,2004
3,69
3,131
2,3057
2,3155
4,2119
3,183
3,126
0,1446
2,2753
1,697
2,2886
2,2510
0,1426
3,467
2,2510
2,2510
3,161
4,1919
0,1735
0,1702
2,2721
4,2155
4,2155
4,2368
3,69
4,2130
0,1304
3,171
1,917
0,1504
2,2880
2,3038
3,73
2,2968
2,2787
3,91
2,2608
0,1730
0,1294
2,3123
0,1801
3,131
0,1465
4,2407
3,186
2,3100
3,171
0,1373
4,2004
1,1189
0,1307
0,1552
4,2408
3,171
0,1737
2,2538
2,2481
1,1017
3,69
0,1509
4,2255
4,2021
2,2918
2,2573
3,313
3,94
0,1290
4,1819
4,2420
3,298
2,2491
0,1735
3,318
4,1970
3,69
2,2461
0,1462
3,502
3,57
3,171
0,1426
4,2155
2,3126
0,1426
0,1699
3,565
2,3100
2,2972
4,2255
3,517
1,1183
1,635
2,2510
0,1633
0,1735
3,116
4,1970
3,69
4,1916
1,1123
0,1447
4,1904
4,1859
4,2419
2,2918
0,1633
2,3059
4,2404
3,88
3,35
3,408
4,2255
3,372
2,2877
2,2724
1,735
1,1106
1,644
1,688
0,1735
2,2766
2,3201
4,1860
2,3155
4,2004
3,69
2,2897
4,1836
2,2494
1,946
0,1280
4,2190
4,2190
2,2724
2,2510
2,2721
4,2026
1,1142
4,2255
4,2410
4,2174
0,1546
2,2510
0,1426
3,171
1,940
1,667
3,330
0,1715
4,1944
2,3053
2,2471
3,354
4,2082
0,1470
3,23
3,481
2,2585
0,1289
3,69
0,1304
0,1426
3,69
2,2510
1,1017
2,2453
4,2097
1,656
1,962
2,2724
0,1490
3,69
3,93
0,1304
1,1147
2,2481
3,379
1,1119
4,1920
1,1119
1,1107
2,2445
0,1299
3,344
1,839
2,2877
3,486
0,1546
2,2510
4,2049
1,1207
1,669
3,298
4,2387
1,928
4,2254
0,1294
0,1633
4,2244
0,1735
2,2527
4,2143
3,210
2,2453
0,1457
2,3089
0,1221
4,1880
3,476
3,69
2,2893
0,1633
1,1015
1,1123
2,2808
0,1730
1,871
1,626
3,171
0,1735
3,207
3,80
2,2787
2,2510
4,2194
1,719
4,2004
3,304
1,1186
3,330
0,1304
0,1633
1,653
4,2261
3,352
3,171
1,1095
2,2851
3,171
4,2065
0,1529
1,697
2,3201
3,378
4,2401
3,171
2,2818
0,1749
2,3205
0,1426
4,2410
4,2307
2,2460
0,1345
3,457
2,2634
1,829
4,2379
2,2729
2,2510
2,3089
3,69
3,504
0,1304
4,2383
3,69
2,2721
1,636
2,2844
3,210
3,503
2,2560
2,2553
4,2155
0,1522
1,1023
2,2721
1,871
0,1490
0,1308
3,70
0,1235
0,1625
1,914
4,2112
2,3022
0,1746
4,2155
3,476
1,775
0,1346
4,2255
2,2458
2,2614
4,1862
0,1735
0,1362
0,1490
2,3197
0,1426
1,1176
4,1966
3,222
2,3201
0,1750
3,342
2,2995
2,2949
4,1858
0,1735
3,106
2,2724
4,2292
4,2382
3,29
0,1426
3,478
4,2004
2,3058
1,1121
4,2106
2,2773
3,342
0,1735
3,476
0,1426
2,2528
1,672
2,2520
4,1852
0,1354
2,2517
4,1994
4,2255
0,1309
3,402
